,Max,Avg,Min,Max.1,Avg.1,Min.1,Max.2,Avg.2,Min.2,Max.3,Avg.3,Min.3,Max.4,Avg.4,Min.4,Total,MOTOR OIL
2016-01-01,43,36.0,28,28,24.6,21,87,64.8,42,15,15,15,30.1,30.0,30.0,0.0,6804110.0
2016-01-02,50,39.9,28,37,32.5,21,87,75.1,62,8,8,8,30.0,29.9,29.9,0.0,6526079.0
2016-01-03,57,47.9,34,54,43.8,30,93,85.4,72,24,24,24,29.9,29.6,29.4,0.0,6547519.0
2016-01-04,63,55.3,46,52,45.3,41,87,70.0,45,14,14,14,29.4,29.4,29.3,0.0,6379654.0
2016-01-05,68,62.1,55,57,54.1,50,88,75.4,64,17,17,17,29.5,29.3,29.2,0.0,5964034.0
2016-01-06,66,60.1,55,57,54.8,50,94,83.1,68,29,29,29,29.5,29.4,29.2,0.0,5720380.0
2016-01-07,64,57.9,54,55,42.9,32,88,58.9,36,28,28,28,29.3,29.1,29.0,0.0,6329445.0
2016-01-08,63,53.4,39,37,33.2,25,87,48.6,25,18,18,18,29.7,29.5,29.3,0.0,6625216.0
2016-01-09,63,50.5,39,52,44.0,34,94,79.2,59,14,14,14,29.8,29.7,29.7,0.0,6541354.0
2016-01-10,59,53.8,48,55,50.5,46,94,89.2,77,13,13,13,29.7,29.6,29.6,0.0,6353153.0
2016-01-11,68,59.2,52,54,50.2,48,94,72.8,52,13,13,13,29.7,29.7,29.6,0.0,5613758.0
2016-01-12,68,60.1,54,52,47.7,45,88,64.9,46,18,18,18,29.6,29.5,29.5,0.0,5752035.0
2016-01-13,64,58.7,52,48,41.7,34,77,54.1,36,18,18,18,29.6,29.6,29.5,0.0,5929282.0
2016-01-14,59,51.5,37,39,33.7,27,81,53.6,29,12,12,12,29.8,29.8,29.6,0.0,5018737.0
2016-01-15,61,49.4,36,46,38.9,30,93,68.7,45,18,18,18,29.8,29.7,29.6,0.0,2153093.0
2016-01-16,63,60.1,57,52,48.9,46,77,67.2,55,37,37,37,29.6,29.4,29.2,0.0,1795364.0
2016-01-17,63,54.0,46,50,42.4,36,82,65.6,47,41,41,41,29.2,29.1,29.1,0.0,1881225.0
2016-01-18,46,42.4,39,39,30.7,27,81,64.3,57,18,18,18,29.6,29.3,29.1,0.0,1797181.0
2016-01-19,45,40.1,36,32,27.9,23,70,62.0,49,14,14,14,29.8,29.7,29.6,0.0,1123301.0
2016-01-20,46,44.3,39,43,37.8,32,87,78.8,66,23,23,23,29.8,29.7,29.6,0.0,926486.0
2016-01-21,54,46.4,39,41,37.5,34,87,72.3,58,10,10,10,29.9,29.8,29.7,0.0,202847.0
2016-01-22,52,43.8,36,36,33.8,32,93,69.2,47,20,20,20,30.1,29.9,29.9,0.0,328311.0
2016-01-23,43,38.8,36,34,31.7,28,87,75.3,65,20,20,20,30.1,30.1,30.0,0.0,455672.0
2016-01-24,43,38.8,36,30,26.0,19,70,59.9,45,10,10,10,30.1,30.1,30.1,0.0,134655.0
2016-01-25,43,39.6,36,36,29.3,21,81,66.8,45,13,13,13,30.1,30.1,30.1,0.0,200947.0
2016-01-26,54,41.5,28,39,32.5,25,93,71.7,54,22,22,22,30.1,30.0,29.9,0.0,158176.0
2016-01-27,54,47.5,39,41,36.9,34,87,67.3,57,13,13,13,30.1,30.1,30.1,0.0,198853.0
2016-01-28,64,48.8,34,48,41.7,32,94,78.0,56,12,12,12,30.1,30.0,30.0,0.0,342634.0
