,Max,Avg,Min,Max.1,Avg.1,Min.1,Max.2,Avg.2,Min.2,Max.3,Avg.3,Min.3,Max.4,Avg.4,Min.4,Total,MEGALOPOLIS (PPC)
2019-11-30,70,56.7,46,55,50.6,45,94,81.3,52,6,6,6,30.0,30.0,29.9,0.0,13332566.0
2019-12-01,70,56.7,48,54,45.8,37,94,70.7,31,14,14,14,30.2,30.1,30.0,0.0,12438246.0
2019-12-02,66,54.0,46,52,47.1,43,94,77.8,52,7,7,7,30.2,30.2,30.1,0.0,14299924.0
2019-12-03,70,57.6,50,55,51.7,48,94,81.8,53,8,8,8,30.1,30.1,30.0,0.0,12790229.0
2019-12-04,72,57.9,50,59,51.0,43,94,78.9,53,14,14,14,30.1,30.0,29.9,0.0,11767067.0
2019-12-05,64,56.6,52,45,42.4,41,67,58.5,49,14,14,14,30.2,30.2,30.1,0.0,12039909.0
2019-12-06,66,57.1,50,54,47.8,41,94,71.5,56,7,7,7,30.3,30.2,30.2,0.0,13025222.0
2019-12-07,68,56.2,50,57,51.4,46,94,84.8,60,7,7,7,30.2,30.1,30.0,0.0,11903998.0
2019-12-08,68,55.7,48,52,46.3,41,94,73.7,37,13,13,13,30.1,30.0,30.0,0.0,12988803.0
2019-12-09,66,53.0,43,50,44.7,39,93,75.3,43,6,6,6,30.0,29.9,29.8,0.0,14218487.0
2019-12-10,63,55.2,50,54,50.8,48,94,86.2,63,8,8,8,29.8,29.7,29.6,0.0,15809212.0
2019-12-11,55,51.5,48,52,48.3,45,94,90.1,76,8,8,8,29.7,29.7,29.6,0.0,12379664.0
2019-12-12,64,53.0,46,50,46.6,45,93,80.6,49,10,10,10,29.7,29.6,29.6,0.0,10133114.0
2019-12-13,63,52.6,46,50,47.1,45,94,83.3,52,12,12,12,29.7,29.6,29.6,0.0,3454997.0
2019-12-14,57,53.5,50,54,47.6,43,94,80.5,63,18,18,18,29.6,29.4,29.3,0.0,
2019-12-15,68,54.9,46,54,46.8,41,94,75.4,46,12,12,12,30.2,30.0,29.6,0.0,35971.0
2019-12-16,72,54.9,46,54,48.9,45,94,81.6,46,6,6,6,30.3,30.3,30.2,0.0,10675076.0
2019-12-17,70,54.2,45,54,48.2,43,94,81.3,49,5,5,5,30.3,30.3,30.2,0.0,8084128.0
2019-12-18,70,54.1,45,54,48.1,43,94,81.7,49,6,6,6,30.3,30.3,30.3,0.0,11973884.0
2019-12-19,66,56.5,48,55,50.4,45,94,80.7,64,12,12,12,30.4,30.3,30.3,0.0,11537342.0
2019-12-20,68,59.4,52,55,52.8,48,94,79.0,56,10,10,10,30.2,30.2,30.1,0.0,7706261.0
2019-12-21,64,56.2,48,57,51.0,46,94,83.6,68,8,8,8,30.1,30.1,30.0,0.0,
2019-12-22,66,61.4,55,57,53.9,50,94,76.8,56,71,71,71,30.0,29.8,29.6,0.0,17193.0
2019-12-23,61,54.9,50,55,50.0,43,94,84.2,67,13,13,13,29.6,29.5,29.4,0.0,
2019-12-24,61,51.9,43,46,40.8,36,93,68.5,42,22,22,22,29.8,29.6,29.5,0.0,
2019-12-25,61,49.9,41,57,37.4,32,100,65.9,34,17,17,17,29.8,29.8,29.8,0.0,
2019-12-26,63,47.7,37,37,32.0,27,87,59.4,26,16,16,16,30.0,29.9,29.8,0.0,
2019-12-27,57,45.8,37,45,37.2,32,93,72.8,41,9,9,9,30.1,30.0,30.0,0.0,
2019-12-28,55,42.7,36,43,34.5,28,100,75.8,38,10,10,10,30.0,29.9,29.9,0.0,
2019-12-29,54,47.3,39,28,26.3,23,65,44.9,30,25,25,25,29.9,29.9,29.9,0.0,7355.0
2019-12-30,55,48.8,45,30,27.1,25,50,42.8,35,16,16,16,30.1,30.0,29.9,0.0,291003.0
2019-12-31,61,49.3,39,36,30.4,16,81,50.9,26,10,10,10,30.2,30.2,30.1,0.0,9571651.0
